R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,R_kd_bout,B_kd_bout,R_sig_str_landed_bout,B_sig_str_landed_bout,R_sig_str_attempted_bout,B_sig_str_attempted_bout,R_sig_str_pct_bout,B_sig_str_pct_bout,R_tot_str_landed_bout,B_tot_str_landed_bout,R_tot_str_attempted_bout,B_tot_str_attempted_bout,R_td_landed_bout,B_td_landed_bout,R_td_attempted_bout,B_td_attempted_bout,R_td_pct_bout,B_td_pct_bout,R_sub_attempts_bout,B_sub_attempts_bout,R_pass_bout,B_pass_bout,R_rev_bout,B_rev_bout
Jack Hermansson,Marvin Vettori,110,-134,110,74.62686567,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Middleweight,MALE,5,0,3,1,4.33,0.43,0.9,1.67,0.47,3,2,20,0,0,0,3,0,2,0,5,Southpaw,182.88,187.96,185,0,1,0,5.08,0.48,0.9,2.19,0.35,4,3,21,0,0,0,2,3,3,0,8,Orthodox,185.42,195.58,185,32,27,0,2,-1,-3,-1,-1,0,-3,-1,-2.54,-7.62,-5,-0.75,0,-0.52,1,1,13,4,,,,,,,4,,,,,,,,,,,,,13,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ovince Saint Preux,Jamahal Hill,140,-177,140,56.49717514,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Light Heavyweight,MALE,3,0,2,0,7.9,0.52,0,0,0,2,0,6,0,0,0,1,1,0,0,2,Southpaw,193.04,200.66,205,0,1,0,2.64,0.46,0.6,1.23,0.4,5,10,67,1,1,0,4,9,5,0,19,Southpaw,190.5,203.2,205,37,29,0,1,-3,-17,-10,-61,-1,-8,-5,2.54,-2.54,-8,5.26,-0.6,-1.23,1,1,,15,,,,,,15,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Benitez,Justin Jaynes,-215,170,46.51162791,170,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Lightweight,MALE,3,1,0,0,4.6,0.43,1.2,0,0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,170.18,172.72,155,2,0,0,4.14,0.38,1.2,0.18,0.5,2,4,20,0,0,0,2,1,2,0,5,Southpaw,172.72,180.34,155,32,31,-1,0,-1,-4,-3,-16,0,0,-2,-2.54,-7.62,-1,0.46,0,-0.18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana De La Rosa,Taila Santos,175,-225,175,44.44444444,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Women's Flyweight,FEMALE,3,0,1,0,4.09,0.46,1,2.33,0.77,1,1,9,0,0,0,2,0,0,0,2,Orthodox,167.64,172.72,125,1,0,0,3.03,0.35,1.5,1.96,0.3,3,2,15,0,0,0,1,0,3,0,4,Orthodox,170.18,172.72,125,25,27,-1,1,-2,-2,-1,-6,0,0,-3,-2.54,0,2,1.06,-0.5,0.37,1,1,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Dolidze,John Allan,-200,160,50,160,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Light Heavyweight,MALE,3,1,0,0,3.59,0.48,1.9,2.54,0.66,0,1,5,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,205,0,1,0,4.47,0.86,0,0,0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,187.96,193.04,205,32,27,1,-1,-1,-1,1,4,0,-1,0,-2.54,-2.54,-5,-0.88,1.9,2.54,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Landwehr,Movsar Evloev,400,-590,400,16.94915254,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Featherweight,MALE,3,0,3,0,4.44,0.43,0,3,0.33,3,0,9,0,0,0,3,0,0,0,3,Orthodox,170.18,182.88,145,0,1,0,6.89,0.5,0,0,0,1,1,4,0,0,0,1,0,0,0,1,Orthodox,175.26,182.88,145,32,26,0,2,2,2,-1,5,0,0,0,-5.08,0,-6,-2.45,0,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Smolka,Jose Quinonez,-139,112,71.94244604,112,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Bantamweight,MALE,3,1,0,0,3.41,0.46,0.7,2.58,0.45,4,3,19,0,0,0,4,0,1,0,5,Southpaw,172.72,175.26,135,1,0,0,4.25,0.46,2,1.61,0.34,4,7,31,0,0,0,2,3,2,0,7,Orthodox,175.26,172.72,135,29,30,0,0,0,-2,-4,-12,0,-3,-1,-2.54,2.54,1,-0.84,-1.3,0.97,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Wiman,Jordan Leavitt,310,-420,310,23.80952381,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Lightweight,MALE,3,0,1,0,0.94,0.5,3.5,3.53,1,1,0,1,0,0,0,0,0,1,0,1,Southpaw,175.26,180.34,155,2,0,0,3.18,0.5,1.5,2.14,0.37,4,7,39,0,0,0,5,2,3,0,10,Orthodox,177.8,172.72,155,37,25,-2,1,-3,-9,-7,-38,0,-2,-2,-2.54,7.62,-12,-2.24,2,1.39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Flick,Cody Durden,-182,145,54.94505495,145,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Flyweight,MALE,3,0,0,1,2.4,0.42,1,2,0.15,0,0,3,0,0,0,0,0,0,0,0,Southpaw,170.18,170.18,125,0,1,0,2.04,0.64,7.9,2.26,0.66,1,0,3,0,0,0,0,0,1,0,1,Orthodox,170.18,172.72,125,30,29,0,-1,-1,-1,0,0,0,0,-1,0,-2.54,-1,0.36,-6.9,-0.26,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilia Topuria,Damon Jackson,-275,210,36.36363636,210,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Featherweight,MALE,3,0,1,1,2.2,0.36,2.9,1.22,0.2,1,1,9,0,0,0,0,0,1,0,1,Switch,180.34,180.34,145,0,1,0,0.87,0.39,5,5,0.55,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,175.26,145,23,32,0,0,0,0,1,6,0,0,1,10.16,5.08,9,1.33,-2.1,-3.78,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gian Villante,Jake Collier,-200,160,50,160,12/5/2020,"Las Vegas, Nevada, USA",USA,,FALSE,Heavyweight,MALE,3,1,0,0,4.15,0.39,0.5,0.71,0.23,1,4,15,0,0,1,1,1,0,0,3,Orthodox,190.5,198.12,230,2,0,0,4.32,0.44,0,0.49,0.23,3,11,52,0,0,3,2,5,0,0,10,Orthodox,190.5,193.04,230,35,32,-1,0,-2,-7,-7,-37,0,-4,0,0,5.08,-3,-0.17,0.5,0.22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
